	NK_D_L	NK_D_H	NK_E_L	NK_E_H	NK_F_L	NK_F_H	NK_K_L	NK_K_H	NK_L_L	NK_L_H	NK_M_L	NK_M_H	NK_N_L	NK_N_H
ENSG00000011198	990	1103	1180	1377	1097	1161	1789	1802	1523	1946	1498	2007	2424	2032
ENSG00000011201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011243	10410	10472	13202	10879	11147	10622	15485	13714	13094	13168	11397	12464	14304	11367
ENSG00000011258	1550	1078	994	1347	1007	1231	1491	1174	1302	1337	1570	1562	2467	1451
ENSG00000011260	3501	3493	2624	2860	3095	2646	4751	5192	3117	3190	2931	3575	6043	3994
ENSG00000011275	11517	12940	11985	11001	11341	11036	18398	13635	9454	8656	8573	11933	18560	14154
ENSG00000011295	8359	7012	7311	6577	6159	5258	9604	7836	6029	3585	4700	5819	10584	6733
ENSG00000011304	9499	9373	11813	8980	8471	7836	15891	11205	10753	7182	7912	10080	17976	12658
ENSG00000011332	18	0	32	3	5	13	4	27	8	9	22	40	6	8
ENSG00000011347	0	0	0	0	0	3	4	0	0	8	0	1	0	0
ENSG00000011376	1156	1131	992	1179	928	638	1585	1206	826	432	480	1120	2350	1226
ENSG00000011405	3536	3711	3396	4325	3554	3038	4693	2691	2234	3003	2883	2956	4790	3980
ENSG00000011422	319	108	314	85	429	220	321	422	303	331	833	233	427	276
ENSG00000011426	151	70	205	139	271	220	226	38	102	96	141	152	154	45
ENSG00000011451	342	267	306	263	284	277	479	430	406	312	284	324	801	524
ENSG00000011454	2699	2405	3038	2609	2481	2291	5572	2745	1816	1753	1099	1599	4119	2965
ENSG00000011465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011478	533	470	618	459	292	453	461	428	420	651	681	510	812	556
ENSG00000011485	2701	3055	4974	4360	3270	3663	6883	6561	7299	6860	6618	8264	8048	6206
ENSG00000011523	2822	1665	2230	1310	2039	1223	2633	1745	1606	1229	1168	1229	1474	1340
ENSG00000011566	1532	1175	634	728	1064	1013	1559	1114	719	644	599	777	1228	909
ENSG00000011590	69	20	1	6	1	37	35	53	0	10	73	57	25	17
ENSG00000011600	25946	16985	25157	17770	20195	19389	38067	44714	44416	73195	73092	59236	64341	46924
